City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Chicama,75,PE,1540429200,88,-7.84,-79.15,64.4,10.29
Krasnyy Chikoy,88,RU,1540431230,63,50.36,108.75,23.85,8.01
Eirunepe,56,BR,1540431230,95,-6.66,-69.87,78.12,1.97
Port Alfred,0,ZA,1540431231,91,-33.59,26.89,64.67,6.55
Pathein,0,MM,1540431231,90,16.78,94.73,84.29,4.21
Longyearbyen,75,NO,1540428600,58,78.22,15.63,30.2,13.87
Qaanaaq,48,GL,1540431232,100,77.48,-69.36,3.56,11.81
Lerwick,76,GB,1540430400,81,60.15,-1.15,48.2,25.28
Grindavik,20,IS,1540429200,100,63.84,-22.43,32.0,10.29
Saint Lawrence,20,MT,1540428300,77,36.06,14.2,64.4,6.93
Vardo,90,US,1540429200,49,39.62,-77.74,46.4,3.36
Upernavik,44,GL,1540431233,100,72.79,-56.15,18.1,11.36
Santa Fe,44,AR,1540431151,63,-31.62,-60.7,64.22,12.03
Waipawa,32,NZ,1540431234,48,-39.94,176.59,66.83,16.96
East London,0,ZA,1540431234,99,-33.02,27.91,70.61,1.97
Kapaa,40,US,1540428960,69,22.08,-159.32,86.0,16.11
New Norfolk,75,AU,1540429200,38,-42.78,147.06,59.0,6.93
Nome,90,US,1540428900,82,30.04,-94.42,68.0,6.93
Barrow,80,AR,1540431085,92,-38.31,-60.23,49.91,6.55
Marovoay,0,MG,1540429200,64,-16.11,46.64,73.4,4.7
Mount Gambier,0,AU,1540431039,63,-37.83,140.78,66.25,6.22
Selfoss,20,IS,1540429200,100,63.94,-21.0,32.0,11.41
Georgetown,0,GY,1540431237,84,6.8,-58.16,77.99,7.0
Mataura,80,NZ,1540431237,82,-46.19,168.86,50.54,9.01
Avarua,92,CK,1540431030,100,-21.21,-159.78,74.52,18.41
Hermanus,0,ZA,1540431238,75,-34.42,19.24,60.4,2.64
Nanakuli,40,US,1540429860,78,21.39,-158.15,87.8,9.17
Punta Arenas,20,CL,1540429200,81,-53.16,-70.91,42.8,8.05
Coquimbo,0,CL,1540429200,87,-29.95,-71.34,53.6,3.36
Bogo,0,CM,1540431239,74,10.74,14.61,73.67,4.32
Castro,0,CL,1540431240,100,-42.48,-73.76,40.73,2.53
Cape Town,0,ZA,1540431240,89,-33.93,18.42,63.14,4.32
Khatanga,8,RU,1540431241,54,71.98,102.47,-4.82,2.98
Hambantota,20,LK,1540431241,100,6.12,81.12,81.14,7.78
Kodiak,1,US,1540428780,47,39.95,-94.76,55.4,8.05
Ixtapa,75,MX,1540428240,100,20.71,-105.21,80.6,5.82
Yeppoon,20,AU,1540429200,40,-23.13,150.74,87.8,9.17
Fort Nelson,20,CA,1540429200,69,58.81,-122.69,35.6,3.36
Dikson,64,RU,1540431243,100,73.51,80.55,23.5,14.72
Bluff,0,AU,1540431243,34,-23.58,149.07,93.74,7.23
Kavaratti,0,IN,1540431244,100,10.57,72.64,83.84,5.66
Imeni Zhelyabova,92,RU,1540431244,98,58.95,36.6,34.92,7.0
Muros,0,ES,1540429200,87,42.77,-9.06,50.0,1.12
Busselton,0,AU,1540431245,87,-33.64,115.35,67.5,12.03
Tarko-Sale,32,RU,1540431245,95,64.92,77.78,30.87,10.69
Pevek,48,RU,1540431246,100,69.7,170.27,18.86,11.14
Bilma,0,NE,1540431246,34,18.69,12.92,67.06,7.23
Kaitangata,92,NZ,1540431246,96,-46.28,169.85,48.7,10.8
Port Keats,0,AU,1540431247,68,-14.25,129.55,92.03,12.26
Qaqortoq,20,GL,1540428600,50,60.72,-46.03,30.2,11.41
Aracataca,75,CO,1540429200,88,10.59,-74.19,80.6,6.93
Beibei,90,CN,1540429200,93,29.83,106.43,60.8,6.71
Hoi An,75,VN,1540427400,94,15.88,108.33,75.2,4.7
Gold Coast,90,AU,1540429200,65,-28.0,153.41,77.0,10.29
Bela pod Bezdezem,75,CZ,1540429200,87,50.5,14.8,48.2,9.17
Axim,88,GH,1540431250,100,4.87,-2.24,80.06,8.46
Bredasdorp,12,ZA,1540431250,92,-34.53,20.04,63.55,3.2
Belaya Gora,24,RU,1540431250,81,68.54,146.19,-1.26,3.76
Ushuaia,40,AR,1540429200,100,-54.81,-68.31,41.0,11.41
Srednekolymsk,24,RU,1540431251,76,67.46,153.71,2.84,0.74
Norman Wells,20,CA,1540429200,80,65.28,-126.83,33.8,3.36
Bonavista,80,CA,1540431252,100,48.65,-53.11,43.43,22.88
Bida,0,NG,1540431252,88,9.08,6.02,76.73,6.67
La Paz,5,MX,1540428060,47,24.15,-110.32,78.8,9.17
Kalyazin,92,RU,1540431253,100,57.24,37.84,38.3,4.65
Airai,0,TL,1540431253,40,-8.93,125.41,88.34,1.41
Bandarbeyla,88,SO,1540431253,100,9.49,50.81,75.38,2.75
Manado,40,ID,1540429200,70,1.49,124.85,86.0,6.93
Marshall,1,US,1540430100,59,39.39,-87.69,44.6,4.7
Polunochnoye,64,RU,1540431254,90,60.87,60.43,33.26,6.22
Copiapo,0,CL,1540429200,76,-27.37,-70.33,55.4,4.7
Vaini,56,IN,1540431255,86,15.34,74.49,73.0,5.21
Caravelas,92,BR,1540431255,100,-17.73,-39.27,75.65,11.36
Santa Rosa del Sur,32,CO,1540431220,97,7.96,-74.05,77.27,2.53
Mao,20,DO,1540429200,88,19.55,-71.08,78.8,4.7
Saint George,40,GR,1540428600,58,39.45,22.34,59.0,5.82
Esperance,20,TT,1540429200,88,10.24,-61.45,80.6,5.55
Waingapu,0,ID,1540431257,68,-9.65,120.26,87.98,3.76
Hasaki,20,JP,1540429200,63,35.73,140.83,66.2,10.29
Namatanai,92,PG,1540431258,100,-3.66,152.44,77.68,10.02
Mar del Plata,68,AR,1540431258,100,-46.43,-67.52,42.57,4.21
Bondo,32,CD,1540431259,99,3.81,23.69,70.97,2.19
Iqaluit,75,CA,1540429200,73,63.75,-68.52,24.8,16.11
Saint-Joseph,0,FR,1540429200,87,43.56,6.97,57.2,3.36
Fairbanks,1,US,1540429080,61,64.84,-147.72,46.4,5.82
Corner Brook,90,CA,1540429200,93,48.95,-57.95,46.4,11.41
Faanui,0,PF,1540431260,100,-16.48,-151.75,80.19,10.25
Balesti,0,RO,1540431261,60,45.02,23.22,36.59,10.02
Mexico,90,US,1540430100,71,44.56,-70.55,39.2,7.9
Novikovo,88,UA,1540431261,100,45.05,34.56,43.47,12.03
Tasiilaq,0,GL,1540428600,53,65.61,-37.64,24.8,2.24
Petropavlovsk-Kamchatskiy,0,RU,1540429200,77,53.05,158.65,46.4,2.24
Chinhoyi,44,ZW,1540431262,78,-17.36,30.19,54.23,7.67
Yuxia,75,CN,1540429200,58,34.06,108.63,59.0,2.24
Toppenish,75,US,1540428780,50,46.38,-120.31,57.2,4.7
Zachary,90,US,1540428780,73,30.65,-91.16,69.8,8.05
Ancud,0,CL,1540431263,88,-41.87,-73.83,42.71,4.21
Butaritari,12,KI,1540431086,100,3.07,172.79,84.47,6.22
Araouane,0,ML,1540431264,31,18.9,-3.53,76.64,11.03
Northam,0,GB,1540428600,93,51.04,-4.21,46.4,6.93
Soyo,80,AO,1540431265,98,-6.13,12.37,73.62,3.76
Nikolskoye,75,RU,1540429200,86,59.7,30.79,37.4,2.24
Codrington,32,AU,1540431265,82,-28.95,153.24,75.87,3.2
Kuminskiy,0,RU,1540431266,91,58.67,66.57,40.01,6.78
Pyshchug,92,RU,1540431266,98,58.89,45.71,40.6,9.01
Moranbah,0,AU,1540431266,34,-22.0,148.04,92.75,11.25
Lebu,56,ET,1540431267,96,8.96,38.73,47.12,3.76
Matucana,68,PE,1540431267,100,-11.84,-76.39,36.72,1.19
Cidreira,24,BR,1540431267,77,-30.17,-50.22,65.66,16.51
Srandakan,88,ID,1540431267,87,-7.94,110.25,79.34,4.65
Vestmanna,88,FO,1540430400,93,62.16,-7.17,44.6,24.16
Conway,1,US,1540430100,100,33.84,-79.05,55.4,9.01
Kavieng,92,PG,1540431268,100,-2.57,150.8,77.36,17.74
Avera,1,US,1540428900,81,33.19,-82.53,62.6,5.82
Mercedes,80,UY,1540431269,69,-33.25,-58.03,63.72,12.26
Loei,90,TH,1540429200,94,17.49,101.72,77.0,3.36
Vikulovo,80,RU,1540431270,95,55.07,40.96,40.1,11.92
Thinadhoo,92,MV,1540431270,100,0.53,72.93,82.81,8.46
Carnarvon,0,ZA,1540431270,45,-30.97,22.13,45.95,2.64
Indiaroba,92,BR,1540431271,93,-11.53,-37.51,72.68,4.09
La Primavera,0,AR,1540429200,63,-32.92,-68.67,62.6,5.77
Egvekinot,80,RU,1540431272,66,66.32,-179.17,23.05,13.15
Oktyabrskiy,75,RU,1540429200,93,55.61,37.97,39.2,6.71
Daryapur,0,IN,1540431272,44,20.92,77.32,78.31,6.67
Lompoc,1,US,1540429080,82,34.64,-120.46,68.0,10.29
Rumonge,88,BI,1540431273,79,-3.97,29.44,79.93,12.26
Coihaique,0,CL,1540429200,57,-45.58,-72.07,50.0,3.36
Guerrero Negro,0,MX,1540431274,100,27.97,-114.04,64.04,6.55
Finote Selam,56,ET,1540431274,96,10.7,37.27,50.67,2.64
Xuanzhou,44,CN,1540431274,79,30.95,118.78,70.88,8.68
Tiksi,88,RU,1540431274,83,71.64,128.87,11.3,11.59
Apollonia,20,GR,1540428600,43,40.64,23.49,55.4,25.28
Puerto Escondido,20,MX,1540428000,74,15.86,-97.07,82.4,3.36
Sao Felix do Xingu,44,BR,1540431275,81,-6.64,-51.99,78.35,2.64
Anadyr,0,RU,1540429200,79,64.73,177.51,26.6,15.66
Laguna,40,MX,1540428000,44,27.52,-110.01,80.6,5.82
Victoria,75,BN,1540429200,83,5.28,115.24,84.2,3.36
Katangli,20,RU,1540431277,85,51.71,143.23,48.6,16.51
Caala,92,AO,1540431277,99,-12.85,15.56,56.25,3.2
Mahibadhoo,56,MV,1540431278,100,3.78,72.97,84.11,8.79
Jamestown,0,AU,1540431111,27,-33.21,138.6,82.22,10.8
Zeya,0,RU,1540431278,58,53.74,127.27,32.99,2.98
Cherskiy,36,RU,1540431279,73,68.75,161.3,6.26,4.21
Ponta do Sol,92,BR,1540431279,99,-20.63,-46.0,66.56,6.44
Aklavik,40,CA,1540429200,80,68.22,-135.01,30.2,5.82
Nefteyugansk,75,RU,1540429200,100,61.09,72.61,35.6,4.47
Warri,32,NG,1540431280,96,5.52,5.75,73.35,3.2
Makakilo City,40,US,1540429860,78,21.35,-158.09,87.8,9.17
Jadu,92,LY,1540431280,87,31.95,12.03,54.68,4.99
Inhambane,24,MZ,1540431281,100,-23.87,35.38,64.76,7.0
Toora-Khem,76,RU,1540431281,77,52.47,96.11,23.09,3.2
Poronaysk,12,RU,1540431281,80,49.22,143.1,47.03,9.91
Hami,0,CN,1540431281,54,42.84,93.51,41.27,10.58
Portel,0,PT,1540429200,82,38.31,-7.71,60.8,2.24
Karlskoga,56,SE,1540428600,100,59.33,14.52,35.6,5.82
Pochutla,20,MX,1540428000,74,15.74,-96.47,82.4,3.36
Hovd,75,NO,1540428600,93,63.83,10.7,37.4,2.24
Broome,8,GB,1540430400,100,52.47,1.45,41.0,8.05
Tuatapere,68,NZ,1540431283,100,-46.13,167.69,47.21,9.69
Manta,0,RO,1540431284,55,45.1,24.1,35.6,9.24
Saint-Augustin,0,FR,1540429200,87,44.83,-0.61,55.4,5.82
Burnie,68,AU,1540431284,100,-41.05,145.91,54.95,11.81
Pacifica,20,US,1540428960,68,37.61,-122.49,71.6,18.34
Vestmannaeyjar,0,IS,1540431285,100,63.44,-20.27,34.2,14.16
Vero Beach,20,US,1540430100,88,27.64,-80.4,73.4,3.36
Chistogorskiy,64,RU,1540431207,75,53.98,87.38,34.02,4.76
Paragominas,8,BR,1540431114,85,-3.0,-47.35,76.95,8.46
Artyom,0,RU,1540429200,76,43.36,132.19,51.8,2.24
Dingle,48,PH,1540431286,64,11.0,122.67,86.27,8.34
Sibolga,20,ID,1540431286,86,1.74,98.78,78.26,1.41
Ajdabiya,20,LY,1540431287,98,30.75,20.22,60.12,2.98
Alta Floresta,8,BR,1540431287,93,-9.87,-56.08,74.3,1.86
Saskylakh,36,RU,1540431287,81,71.97,114.09,5.95,4.65
Qinhuangdao,80,CN,1540431288,44,39.94,119.59,68.54,7.56
Ribeira Grande,36,PT,1540431288,100,38.52,-28.7,68.0,14.5
Bykovo,92,RU,1540431288,91,49.76,45.39,58.19,18.07
Ca Mau,36,VN,1540431289,100,9.18,105.15,83.8,5.1
Tilichiki,0,RU,1540431289,71,60.47,166.1,23.99,0.74
Agadez,36,NE,1540431289,30,16.97,7.99,72.72,2.75
Henties Bay,0,NA,1540431290,73,-22.12,14.28,70.07,4.21
Severo-Kurilsk,92,RU,1540431290,92,50.68,156.12,44.37,15.84
Sayhat,0,SA,1540431000,58,26.49,50.04,84.2,5.82
Acajutla,0,SV,1540428600,65,13.59,-89.83,78.8,2.24
Yulara,92,AU,1540429200,35,-25.24,130.99,87.8,16.11
Sao Jose da Coroa Grande,92,BR,1540431291,97,-8.9,-35.15,74.57,5.21
Lufilufi,20,WS,1540425600,70,-13.87,-171.6,87.8,9.17
Souillac,0,FR,1540429200,93,45.6,-0.6,51.8,5.82
Panguna,92,PG,1540431292,91,-6.32,155.48,80.06,3.2
The Valley,20,AI,1540429200,78,18.22,-63.06,78.8,4.7
Fare,92,PF,1540431293,100,-16.7,-151.02,80.69,9.8
Behbahan,0,IR,1540429200,68,30.59,50.24,68.0,3.87
Khani,75,GE,1540429200,77,41.96,42.96,62.6,13.87
Niksar,92,TR,1540431294,96,40.59,36.95,51.8,2.75
Kropotkin,92,RU,1540431294,97,45.43,40.58,54.68,7.45
Mosquera,40,CO,1540429200,87,4.71,-74.23,57.2,5.82
Cayenne,0,GF,1540429200,83,4.94,-52.33,78.8,2.24
Sao Joao da Barra,92,BR,1540431295,100,-21.64,-41.05,73.67,10.02
Sokoto,0,NG,1540431295,62,13.06,5.24,73.35,9.01
Bay Roberts,40,CA,1540429200,81,47.58,-53.28,42.8,16.11
Bol,0,TD,1540431296,62,13.47,14.72,71.06,4.65
Siocon,36,PH,1540431296,94,11.03,124.04,84.56,10.69
Port Elizabeth,1,US,1540428960,70,39.31,-74.98,48.2,4.7
Beyneu,0,KZ,1540431297,75,45.32,55.19,53.56,12.48
Rajpipla,0,IN,1540431297,62,21.87,73.5,80.87,3.42
Camopi,0,GF,1540431297,68,3.17,-52.33,79.66,3.76
Pustoshka,36,RU,1540431298,100,56.34,29.37,32.81,11.81
Djambala,76,CG,1540431298,98,-2.55,14.76,70.43,6.33
Teya,5,MX,1540428120,69,21.05,-89.07,80.6,6.93
Trinidad,92,UY,1540431062,74,-33.52,-56.9,59.85,12.48
Krasnovishersk,56,RU,1540431299,98,60.4,57.08,37.85,9.35
Ponnani,75,IN,1540429200,88,10.77,75.93,73.4,5.82
Buala,56,SB,1540431300,76,-8.15,159.59,87.57,5.99
Joshimath,0,IN,1540431300,74,30.57,79.57,6.89,1.41
Sandanski,0,BG,1540431300,42,41.57,23.28,40.46,5.99
High Level,40,CA,1540429200,64,58.52,-117.13,37.4,5.44
Kamaishi,20,JP,1540429200,67,39.28,141.86,59.0,3.36
Cabra,8,ES,1540429200,93,37.47,-4.43,57.2,3.2
Brae,76,GB,1540430400,81,60.4,-1.35,48.2,25.28
Udachnyy,80,RU,1540431302,89,66.42,112.4,19.94,3.2
La Ronge,5,CA,1540429200,73,55.1,-105.3,42.8,8.05
Mago,92,RU,1540431303,100,53.27,140.15,42.4,6.44
Kungurtug,80,RU,1540431303,73,50.6,97.53,21.47,5.77
Kurilsk,24,RU,1540431304,100,45.23,147.88,50.81,11.36
Sile,75,US,1540430100,100,35.56,-106.37,55.4,4.54
Caxias,0,BR,1540425600,40,-4.87,-43.35,89.6,1.12
Bodden Town,20,KY,1540429200,83,19.28,-81.25,84.2,6.93
Smithers,90,CA,1540429200,46,54.78,-127.17,50.0,6.93
Yokadouma,44,CM,1540431305,96,3.52,15.05,70.02,3.76
Vao,0,EE,1540431306,94,59.1,26.19,33.35,5.66
Cockburn Town,56,TC,1540431048,100,21.46,-71.14,80.15,12.03
Olga,1,US,1540429080,68,34.11,-118.17,78.8,4.7
Doha,0,QA,1540429200,62,25.29,51.53,84.2,4.7
Garowe,92,SO,1540431306,94,8.41,48.48,71.78,4.43
Oriximina,0,BR,1540431307,57,-1.77,-55.87,86.27,6.22
Chokurdakh,48,RU,1540431307,81,70.62,147.9,8.65,7.67
Atasu,0,KZ,1540431308,66,48.68,71.64,21.83,3.2
Baherden,0,TM,1540431308,72,38.44,57.43,53.78,2.75
Burns Lake,88,CA,1540431308,73,54.23,-125.76,42.17,7.34
Karasjok,92,NO,1540430400,96,69.47,25.52,33.8,6.93
Gazanjyk,8,TM,1540431309,77,39.24,55.52,49.46,2.64
Uelzen,90,DE,1540430400,93,52.97,10.56,53.6,12.75
Okhotsk,88,RU,1540431310,100,59.36,143.24,37.76,16.73
Alofi,90,NU,1540429200,88,-19.06,-169.92,77.0,13.87
Tura,0,IN,1540431310,89,25.52,90.21,76.19,3.31
Quatre Cocos,40,MU,1540429200,77,-20.21,57.76,69.8,4.7
Lucea,20,JM,1540429200,74,18.44,-78.17,82.4,3.36
Kunashak,40,RU,1540429200,80,55.7,61.55,41.0,6.71
Sembakung,80,ID,1540431312,90,3.82,117.25,79.75,2.19
Labuhan,36,ID,1540431312,79,-2.54,115.51,82.94,1.19
Tiznit,0,MA,1540431312,77,29.7,-9.73,64.62,3.2
Ilulissat,0,GL,1540428600,35,69.22,-51.1,10.4,9.17
Provideniya,90,RU,1540429200,74,64.42,-173.23,37.4,20.13
Talnakh,88,RU,1540431313,93,69.49,88.39,26.87,18.52
Yashkul,80,RU,1540431314,97,46.17,45.34,57.16,4.09
Evansville,1,US,1540428960,75,37.97,-87.56,51.8,5.82
Mwinilunga,36,ZM,1540431314,54,-11.73,24.43,63.72,6.22
Sao Filipe,48,CV,1540431315,98,14.9,-24.5,78.89,14.27
General Roca,0,AR,1540429200,62,-39.03,-67.58,57.2,5.82
Ulladulla,75,AU,1540425600,55,-35.36,150.48,66.2,8.05
Lukovetskiy,90,RU,1540429200,91,64.29,41.92,32.0,4.47
Kahului,40,US,1540428960,58,20.89,-156.47,87.8,17.22
Camrose,75,CA,1540429200,69,53.01,-112.84,35.6,2.24
Kindu,36,CD,1540431316,99,-2.95,25.92,71.37,2.3
Comodoro Rivadavia,20,AR,1540429200,93,-45.87,-67.48,50.0,5.82
Bela,20,PK,1540431317,63,26.23,66.31,68.36,3.09
Bam,0,IR,1540431317,70,29.11,58.36,51.35,3.42
Rock Sound,8,BS,1540431318,100,24.9,-76.2,81.55,14.05
Scarborough,24,GB,1540428600,87,54.28,-0.41,48.2,8.05
Semey,0,KZ,1540431318,71,50.41,80.25,32.95,11.25
Vila do Maio,56,CV,1540429200,74,15.13,-23.22,78.8,11.41
Leshukonskoye,76,RU,1540431319,99,64.9,45.76,28.04,4.99
Woodward,90,US,1540430100,93,36.43,-99.39,44.6,3.36
Tazovskiy,88,RU,1540431064,97,67.47,78.7,27.95,8.01
Trelew,80,AR,1540431320,90,-43.25,-65.31,49.95,8.12
Bambous Virieux,40,MU,1540429200,77,-20.34,57.76,69.8,4.7
Abu Dhabi,0,AE,1540429200,78,24.47,54.37,82.4,2.24
Richards Bay,0,ZA,1540431321,90,-28.77,32.06,57.56,5.21
San Cristobal,0,EC,1540429200,58,-0.39,-78.55,55.4,9.17
Tahe,56,CN,1540431322,59,52.34,124.71,36.77,2.42
Florissant,90,US,1540429140,53,38.79,-90.32,50.0,6.93
Havelock,1,US,1540429080,54,34.88,-76.9,55.4,9.17
Peniche,0,PT,1540429200,93,39.36,-9.38,68.0,3.36
Puqi,92,CN,1540431323,100,29.72,113.88,66.87,3.76
Kangaatsiaq,8,GL,1540431323,100,68.31,-53.46,16.79,13.71
Bandrele,75,YT,1540429200,83,-12.91,45.19,77.0,9.17
Hay River,20,CA,1540429200,65,60.82,-115.79,41.0,11.41
Peterhead,0,AU,1540429200,48,-34.83,138.5,66.2,13.87
Viedma,92,AR,1540431324,92,-40.81,-62.99,51.31,9.46
Leningradskiy,80,RU,1540431325,100,69.38,178.42,29.93,21.77
Constitucion,20,MX,1540428180,68,23.99,-104.67,68.0,3.42
Vitim,88,RU,1540431325,85,59.44,112.57,28.94,3.2
Mandera,64,ET,1540431326,67,3.94,41.86,76.77,6.22
Novorzhev,20,RU,1540431326,92,57.03,29.33,31.01,8.9
Campbell River,90,CA,1540429200,100,50.02,-125.24,53.6,8.05
Abu Samrah,92,SY,1540431327,78,35.3,37.18,63.27,8.23
Rorvik,88,NO,1540431327,100,64.86,11.24,42.17,8.79
Burhaniye,75,TR,1540428600,58,39.51,26.98,55.4,21.92
Arraial do Cabo,92,BR,1540431273,99,-22.97,-42.02,71.87,12.71
Sur,0,OM,1540431328,95,22.57,59.53,82.0,7.78
Paamiut,44,GL,1540431328,100,61.99,-49.67,31.73,2.75
Geraldton,75,CA,1540429200,80,49.72,-86.95,30.2,8.05
Sorland,92,NO,1540431252,100,67.67,12.69,44.2,20.98
Palana,92,RU,1540431329,99,59.08,159.95,36.9,3.2
Kruisfontein,36,ZA,1540431290,86,-34.0,24.73,60.17,1.97
Jaboatao,40,BR,1540429200,78,-8.18,-35.0,78.8,8.05
Hobyo,48,SO,1540431330,92,5.35,48.53,76.06,2.98
Nantucket,20,US,1540430100,65,41.28,-70.1,46.4,21.92
Bocas del Toro,76,PA,1540431086,100,9.33,-82.25,81.23,12.37
Broken Hill,0,AU,1540431331,36,-31.97,141.45,86.36,4.99
Bathsheba,20,BB,1540429200,83,13.22,-59.52,78.8,5.82
Macau,12,BR,1540431331,71,-5.11,-36.64,76.91,11.14
Idlib,40,SY,1540428600,100,35.93,36.64,66.2,3.36
Machilipatnam,20,IN,1540427400,83,16.18,81.14,77.0,4.76
Rome,0,IT,1540428900,93,41.89,12.48,62.6,3.36
Suntar,76,RU,1540431333,82,62.16,117.65,22.55,3.76
Matiguas,64,NI,1540431333,88,12.84,-85.46,74.8,5.66
Sosnovka,92,RU,1540431334,99,53.23,41.37,42.4,10.13
Saint-Pierre,90,FR,1540429200,93,48.95,4.24,53.6,4.7
College,1,US,1540429080,61,64.86,-147.8,46.4,5.82
Gorin,1,US,1540430100,65,40.36,-92.02,48.2,5.82
San Patricio,48,PY,1540431335,89,-26.98,-56.83,69.85,3.65
Sainte-Maxime,0,FR,1540429200,100,43.31,6.64,57.2,2.24
Shimanovsk,0,RU,1540431336,48,52.0,127.67,37.62,4.32
Sobolevo,88,RU,1540431336,100,54.43,31.9,36.55,12.71
Quang Ngai,8,VN,1540431337,78,15.12,108.8,80.42,3.09
Port Hardy,90,CA,1540429200,93,50.7,-127.42,50.0,19.46
Chernyshevskiy,56,RU,1540431215,90,63.01,112.47,27.55,4.21
Sabang,80,PH,1540431338,88,13.72,123.58,82.35,11.48
Sioux Lookout,20,CA,1540429200,64,50.1,-91.92,42.8,5.82
Mogocha,88,RU,1540431338,78,53.73,119.76,30.42,3.42
Lorengau,100,PG,1540431339,96,-2.02,147.27,85.19,9.24
Opuwo,8,NA,1540431339,95,-18.06,13.84,56.8,4.99
Marawi,32,PH,1540431339,83,8.0,124.29,77.72,3.31
Ushtobe,8,KZ,1540431340,59,45.25,77.98,36.72,2.98
Carauari,32,BR,1540431340,97,-4.88,-66.9,76.01,3.2
Mattawa,90,CA,1540429200,80,46.32,-78.7,30.2,12.75
Ko Samui,40,TH,1540427400,94,9.54,99.94,75.2,5.32
Beringovskiy,68,RU,1540431341,100,63.05,179.32,31.6,29.37
Najran,0,SA,1540429200,49,17.54,44.22,71.6,2.64
Shimoda,20,JP,1540429200,56,34.7,138.93,68.0,17.22
Dalen,92,NL,1540430700,93,52.7,6.76,53.6,13.71
Teguise,0,ES,1540429200,94,29.06,-13.56,71.6,6.93
Boguchany,76,RU,1540431343,84,58.38,97.46,31.15,4.65
Borogontsy,80,RU,1540431343,69,62.67,131.17,22.82,6.11
Dolores,68,AR,1540431344,92,-36.31,-57.68,52.07,3.2
Sambava,88,MG,1540431344,100,-14.27,50.17,75.87,19.75
Shenjiamen,0,CN,1540431345,87,29.96,122.3,69.98,10.47
Kortkeros,90,RU,1540429200,100,61.81,51.56,39.2,6.71
Maceio,0,BR,1540429200,88,-9.67,-35.74,71.6,3.36
Severo-Yeniseyskiy,92,RU,1540431346,80,60.37,93.04,32.05,5.88
Las Vegas,1,US,1540430100,28,36.17,-115.15,80.6,5.82
Athens,1,US,1540429200,62,34.8,-86.97,60.8,6.93
